Date Time,Open,High,Low,Close,Settle,Volume
2018-01-16 00:00:00,416.5,416.5,416.5,416.5,416.5,1000000000
2018-01-17 00:00:00,421.5,421.5,421.5,421.5,421.5,1000000000
2018-01-18 00:00:00,425.25,425.25,425.25,425.25,425.25,1000000000
2018-01-19 00:00:00,422.75,422.75,422.75,422.75,422.75,1000000000
2018-01-22 00:00:00,425.75,425.75,425.75,425.75,425.75,1000000000
2018-01-23 00:00:00,421.5,421.5,421.5,421.5,421.5,1000000000
2018-01-24 00:00:00,433.0,433.0,433.0,433.0,433.0,1000000000
2018-01-25 00:00:00,434.5,434.5,434.5,434.5,434.5,1000000000
2018-01-26 00:00:00,441.0,441.0,441.0,441.0,441.0,1000000000
2018-01-29 00:00:00,449.25,449.25,449.25,449.25,449.25,1000000000
2018-01-30 00:00:00,457.25,457.25,457.25,457.25,457.25,1000000000
2018-01-31 00:00:00,451.75,451.75,451.75,451.75,451.75,1000000000
2018-02-01 00:00:00,451.0,451.0,451.0,451.0,451.0,1000000000
2018-02-02 00:00:00,446.75,446.75,446.75,446.75,446.75,1000000000
2018-02-05 00:00:00,440.25,440.25,440.25,440.25,440.25,1000000000
2018-02-06 00:00:00,446.25,446.25,446.25,446.25,446.25,1000000000
2018-02-07 00:00:00,460.5,460.5,460.5,460.5,460.5,1000000000
2018-02-08 00:00:00,456.25,456.25,456.25,456.25,456.25,1000000000
2018-02-09 00:00:00,449.0,449.0,449.0,449.0,449.0,1000000000
2018-02-12 00:00:00,464.0,464.0,464.0,464.0,464.0,1000000000
2018-02-13 00:00:00,460.75,460.75,460.75,460.75,460.75,1000000000
2018-02-14 00:00:00,455.75,455.75,455.75,455.75,455.75,1000000000
2018-02-15 00:00:00,461.75,461.75,461.75,461.75,461.75,1000000000
2018-02-16 00:00:00,457.75,457.75,457.75,457.75,457.75,1000000000
2018-02-19 00:00:00,451.375,451.375,451.375,451.375,451.375,1000000000
2018-02-20 00:00:00,449.25,449.25,449.25,449.25,449.25,1000000000
2018-02-21 00:00:00,447.25,447.25,447.25,447.25,447.25,1000000000
2018-02-22 00:00:00,451.25,451.25,451.25,451.25,451.25,1000000000
2018-02-23 00:00:00,452.25,452.25,452.25,452.25,452.25,1000000000
2018-02-26 00:00:00,459.5,459.5,459.5,459.5,459.5,1000000000
2018-02-27 00:00:00,463.25,463.25,463.25,463.25,463.25,1000000000
2018-02-28 00:00:00,484.5,484.5,484.5,484.5,484.5,1000000000
2018-03-01 00:00:00,505.5,505.5,505.5,505.5,505.5,1000000000
2018-03-02 00:00:00,492.0,492.0,492.0,492.0,492.0,1000000000
2018-03-05 00:00:00,502.25,502.25,502.25,502.25,502.25,1000000000
2018-03-06 00:00:00,502.0,502.0,502.0,502.0,502.0,1000000000
2018-03-07 00:00:00,493.0,493.0,493.0,493.0,493.0,1000000000
2018-03-08 00:00:00,494.75,494.75,494.75,494.75,494.75,1000000000
2018-03-09 00:00:00,489.0,489.0,489.0,489.0,489.0,1000000000
2018-03-12 00:00:00,489.75,489.75,489.75,489.75,489.75,1000000000
2018-03-13 00:00:00,485.5,485.5,485.5,485.5,485.5,1000000000
2018-03-14 00:00:00,495.75,495.75,495.75,495.75,495.75,1000000000
2018-03-15 00:00:00,478.75,478.75,478.75,478.75,478.75,1000000000
2018-03-16 00:00:00,467.75,467.75,467.75,467.75,467.75,1000000000
2018-03-19 00:00:00,450.75,450.75,450.75,450.75,450.75,1000000000
2018-03-20 00:00:00,453.0,453.0,453.0,453.0,453.0,1000000000
2018-03-21 00:00:00,453.5,453.5,453.5,453.5,453.5,1000000000
2018-03-22 00:00:00,455.75,455.75,455.75,455.75,455.75,1000000000
2018-03-23 00:00:00,460.25,460.25,460.25,460.25,460.25,1000000000
2018-03-26 00:00:00,454.25,454.25,454.25,454.25,454.25,1000000000
2018-03-27 00:00:00,449.0,449.0,449.0,449.0,449.0,1000000000
2018-03-28 00:00:00,445.5,445.5,445.5,445.5,445.5,1000000000
2018-03-29 00:00:00,451.0,451.0,451.0,451.0,451.0,1000000000
2018-04-02 00:00:00,446.25,446.25,446.25,446.25,446.25,1000000000
2018-04-03 00:00:00,457.5,457.5,457.5,457.5,457.5,1000000000
2018-04-04 00:00:00,455.75,455.75,455.75,455.75,455.75,1000000000
2018-04-05 00:00:00,464.75,464.75,464.75,464.75,464.75,1000000000
2018-04-06 00:00:00,472.25,472.25,472.25,472.25,472.25,1000000000
2018-04-09 00:00:00,490.75,490.75,490.75,490.75,490.75,1000000000
2018-04-10 00:00:00,492.0,492.0,492.0,492.0,492.0,1000000000
2018-04-11 00:00:00,487.25,487.25,487.25,487.25,487.25,1000000000
2018-04-12 00:00:00,481.0,481.0,481.0,481.0,481.0,1000000000
2018-04-13 00:00:00,472.5,472.5,472.5,472.5,472.5,1000000000
2018-04-16 00:00:00,462.25,462.25,462.25,462.25,462.25,1000000000
2018-04-17 00:00:00,466.25,466.25,466.25,466.25,466.25,1000000000
2018-04-18 00:00:00,475.25,475.25,475.25,475.25,475.25,1000000000
2018-04-19 00:00:00,476.75,476.75,476.75,476.75,476.75,1000000000
2018-04-20 00:00:00,463.25,463.25,463.25,463.25,463.25,1000000000
2018-04-23 00:00:00,461.5,461.5,461.5,461.5,461.5,1000000000
2018-04-24 00:00:00,472.5,472.5,472.5,472.5,472.5,1000000000
2018-04-25 00:00:00,486.25,486.25,486.25,486.25,486.25,1000000000
2018-04-26 00:00:00,480.75,480.75,480.75,480.75,480.75,1000000000
2018-04-27 00:00:00,495.5,495.5,495.5,495.5,495.5,1000000000
2018-04-30 00:00:00,512.5,512.5,512.5,512.5,512.5,1000000000
2018-05-01 00:00:00,529.75,529.75,529.75,529.75,529.75,1000000000
2018-05-02 00:00:00,525.75,525.75,525.75,525.75,525.75,1000000000
2018-05-03 00:00:00,540.5,540.5,540.5,540.5,540.5,1000000000
2018-05-04 00:00:00,527.5,527.5,527.5,527.5,527.5,1000000000
2018-05-07 00:00:00,514.0,514.0,514.0,514.0,514.0,1000000000
2018-05-08 00:00:00,517.75,517.75,517.75,517.75,517.75,1000000000
2018-05-09 00:00:00,514.5,514.5,514.5,514.5,514.5,1000000000
2018-05-10 00:00:00,507.75,507.75,507.75,507.75,507.75,1000000000
2018-05-11 00:00:00,489.5,489.5,489.5,489.5,489.5,1000000000
2018-05-14 00:00:00,480.5,480.5,480.5,480.5,480.5,1000000000
2018-05-15 00:00:00,493.5,493.5,493.5,493.5,493.5,1000000000
2018-05-16 00:00:00,494.25,494.25,494.25,494.25,494.25,1000000000
2018-05-17 00:00:00,497.5,497.5,497.5,497.5,497.5,1000000000
2018-05-18 00:00:00,518.25,518.25,518.25,518.25,518.25,1000000000
2018-05-21 00:00:00,507.25,507.25,507.25,507.25,507.25,1000000000
2018-05-22 00:00:00,521.5,521.5,521.5,521.5,521.5,1000000000
2018-05-23 00:00:00,531.0,531.0,531.0,531.0,531.0,1000000000
2018-05-24 00:00:00,530.25,530.25,530.25,530.25,530.25,1000000000
2018-05-25 00:00:00,543.0,543.0,543.0,543.0,543.0,1000000000
2018-05-28 00:00:00,538.125,538.125,538.125,538.125,538.125,1000000000
2018-05-29 00:00:00,536.5,536.5,536.5,536.5,536.5,1000000000
2018-05-30 00:00:00,522.0,522.0,522.0,522.0,522.0,1000000000
2018-05-31 00:00:00,526.25,526.25,526.25,526.25,526.25,1000000000
2018-06-01 00:00:00,523.25,523.25,523.25,523.25,523.25,1000000000
2018-06-04 00:00:00,505.25,505.25,505.25,505.25,505.25,1000000000
2018-06-05 00:00:00,510.0,510.0,510.0,510.0,510.0,1000000000
2018-06-06 00:00:00,519.75,519.75,519.75,519.75,519.75,1000000000
2018-06-07 00:00:00,526.75,526.75,526.75,526.75,526.75,1000000000
